CUST_ID,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,PURCHASES_FREQUENCY,Cluster,Segment,PCA1,PCA2
C10001,40.900749,95.4,0.0,1000.0,201.802084,139.509787,0.0,12,0.166667,0,Inactive / Low-Engagement,-1.6836487915335963,-1.0722414849702837
C10002,3202.467416,0.0,6442.945483,7000.0,4103.032597,1072.340217,0.222222,12,0.0,2,Cash Advance Users,-1.1340849338928753,2.5091498069079283
C10003,2495.148862,773.17,0.0,7500.0,622.066742,627.284787,0.0,12,1.0,3,Installment Buyers,0.9693949881955957,-0.3835769025902045
C10004,1666.670542,1499.0,205.788017,7500.0,0.0,312.343947,0.0,12,0.083333,0,Inactive / Low-Engagement,-0.888220393358453,0.00464842250548933
C10005,817.714335,16.0,0.0,1200.0,678.334763,244.791237,0.0,12,0.083333,0,Inactive / Low-Engagement,-1.6000209527055862,-0.6837952385254036
C10006,1809.828751,1333.28,0.0,1800.0,1400.05777,2407.246035,0.0,12,0.666667,3,Installment Buyers,0.25296133640780716,-0.7763781138146594
C10007,627.260806,7091.01,0.0,13500.0,6354.314328,198.065894,1.0,12,1.0,1,High Spenders,6.35016869852991,-0.7045601665736873
C10008,1823.652743,436.2,0.0,2300.0,679.065082,532.03399,0.0,12,1.0,3,Installment Buyers,0.27608023289726585,-1.2881453645406127
C10009,1014.926473,861.49,0.0,7000.0,688.278568,311.963409,0.0,12,0.333333,0,Inactive / Low-Engagement,-0.442169728438573,-0.45949624085317115
C10010,152.225975,1281.6,0.0,11000.0,1164.770591,100.302262,0.0,12,0.166667,0,Inactive / Low-Engagement,-0.5638290416090284,-0.3667209479305042
C10011,1293.124939,920.12,0.0,1200.0,1083.301007,2172.697765,0.0,12,1.0,3,Installment Buyers,0.5412243386462228,-1.309473844454396
C10012,630.794744,1492.18,0.0,2000.0,705.618627,155.549069,0.0,12,0.25,0,Inactive / Low-Engagement,-0.6860707804980898,-0.7836631362346036
C10013,1516.92862,3217.99,0.0,3000.0,608.263689,490.207013,0.25,12,1.0,3,Installment Buyers,1.978545347749324,-1.3236240584287375
C10014,921.693369,2137.93,0.0,7500.0,1655.891435,251.137986,0.083333,12,0.75,3,Installment Buyers,1.559261187423513,-0.8806174603109722
C10015,2772.772734,0.0,346.81139,3000.0,805.647974,989.962866,0.0,12,0.0,0,Inactive / Low-Engagement,-1.5865046128853824,0.2382347957469958
C10016,6886.213231,1611.7,2301.491267,8000.0,1993.439277,2109.90649,0.0,12,0.5,2,Cash Advance Users,0.7952326246689935,1.8483049587987799
C10017,2072.074354,0.0,2784.274703,3000.0,391.974562,376.579631,0.0,8,0.0,0,Inactive / Low-Engagement,-2.095808186439574,0.9594123107442598
C10018,41.089489,519.0,0.0,2500.0,254.590662,73.203221,0.25,12,0.416667,0,Inactive / Low-Engagement,-0.959085198060845,-1.5757743967185454
C10019,1989.072228,504.35,0.0,13000.0,1720.837373,744.613395,0.0,12,0.666667,3,Installment Buyers,0.5009050066538859,-0.09518659540234779
C10020,3577.970933,398.64,0.0,4000.0,1053.980464,12465.54938,0.0,12,1.0,3,Installment Buyers,0.7978026846707674,0.06168003620584535
C10021,2016.684686,176.68,0.0,2000.0,223.0686,13557.29726,0.0,12,0.666667,3,Installment Buyers,-0.12716607339797595,-0.054053626374389666
C10022,6369.531318,6359.95,229.028245,11250.0,2077.959051,1659.775075,0.0,12,1.0,1,High Spenders,5.528002479957902,1.7343578704202771
C10023,132.34224,815.9,0.0,1800.0,2359.629958,86.329554,0.0,12,1.0,3,Installment Buyers,0.41506038605747503,-1.7388763867301775
C10024,3800.151377,4248.35,7974.415626,9000.0,9479.043842,1425.426525,0.0,12,1.0,2,Cash Advance Users,2.807502895980753,3.694182760548337
C10025,5368.571219,0.0,798.949863,6000.0,1422.726707,1657.002877,0.0,11,0.0,2,Cash Advance Users,-1.4207512147115375,1.9315859216501032
C10026,169.781679,399.6,0.0,3000.0,215.306142,163.005536,0.0,12,1.0,3,Installment Buyers,0.16263382463230142,-1.6310025262215888
